"CMP.Row","Country.Name","Date","CMP.Party.ID","Party.Name","Vote.Pct","Total.Per.Codes","Dimension.Emphasis","Raw.Nicheness.Score","Mean.Nicheness.Score","Standardised.Nicheness.Score"
87,"Sweden","18/09/1994",11220,"Left Party",6.174,176,0,2.2926764729672,1.4439376251534,0.848738847813798
88,"Sweden","18/09/1994",11320,"Social Democratic Labour Party",45.25,206,1.456,1.33606817367856,1.6571637891334,-0.321095615454849
89,"Sweden","18/09/1994",11420,"Liberal People’s Party",7.192,192,2.083,0.0618016837182105,1.62143467674304,-1.55963299302483
90,"Sweden","18/09/1994",11520,"Christian Democratic Community Party",4.068,86,12.791,11.1397539396948,1.05811864105711,10.0816352986376
91,"Sweden","18/09/1994",11620,"Moderate Coalition Party",22.38,199,2.513,0.491671822795968,1.82143200653392,-1.32976018373795
92,"Sweden","18/09/1994",11810,"Centre Party",7.653,165,1.212,1.01149835418038,1.54444514169575,-0.532946787515371
93,"Sweden","21/09/1998",11110,"Green Ecology Party",4.5,72,0,1.34954811625404,1.99816062632909,-0.648612510075056
94,"Sweden","21/09/1998",11220,"Left Party",11.99,331,0,1.46789626507435,2.03842656001492,-0.570530294940575
95,"Sweden","21/09/1998",11320,"Social Democratic Labour Party",36.39,256,0.391,1.43074282904442,2.28876179577429,-0.858018966729873
96,"Sweden","21/09/1998",11420,"Liberal People’s Party",4.72,84,2.381,1.14950776866638,2.00988791585035,-0.860380147183973
97,"Sweden","21/09/1998",11520,"Christian Democrats",11.77,167,7.186,6.70960387714586,1.3164784663682,5.39312541077766
98,"Sweden","21/09/1998",11620,"Moderate Coalition Party",22.9,334,0.299,1.29195194630872,2.1760589146127,-0.884106968303974
99,"Sweden","21/09/1998",11810,"Centre Party",5.13,242,1.653,0.38614045735342,2.05615246735551,-1.67001201000209
100,"Sweden","15/09/2002",11110,"Green Ecology Party",4.646,161,0,2.75466885672467,3.27412222468467,-0.519453367960004
101,"Sweden","15/09/2002",11220,"Left Party",8.388,407,0,2.87115231713243,3.28504660556233,-0.413894288429898
102,"Sweden","15/09/2002",11320,"Social Democratic Labour Party",39.854,273,0.733,3.21011291142792,3.27653593789057,-0.0664230264626489
103,"Sweden","15/09/2002",11420,"Liberal People’s Party",13.394,429,2.331,0.338343346868375,3.71620832122581,-3.37786497435743
104,"Sweden","15/09/2002",11520,"Christian Democrats",9.15,332,15.663,14.4004994927677,2.08617574794895,12.3143237448187
105,"Sweden","15/09/2002",11620,"Moderate Coalition Party",15.256,423,2.836,0.253324765696784,3.8091532285043,-3.55582846280752
106,"Sweden","15/09/2002",11810,"Centre Party",6.193,263,1.14,1.58380978740296,3.36294020034345,-1.77913041294049
107,"Sweden","17/09/2006",11110,"Green Ecology Party",5.244,198,0,3.67419692870694,1.14020560813497,2.53399132057197
108,"Sweden","17/09/2006",11220,"Left Party",5.85,389,1.285,2.32939961797981,1.21176618916153,1.11763342881829
109,"Sweden","17/09/2006",11320,"Social Democratic Labour Party",34.994,393,3.816,0.55017186051607,1.71216204804623,-1.16199018753016
110,"Sweden","17/09/2006",11420,"Liberal People’s Party",7.537,605,1.488,2.15404895725314,1.2052697072567,0.948779249996436
111,"Sweden","17/09/2006",11520,"Christian Democrats",6.593,124,9.677,6.67351191100372,0.875851561018292,5.79766034998542
112,"Sweden","17/09/2006",11620,"Moderate Coalition Party",26.23,858,3.38,0.124575605386434,1.72654899267721,-1.60197338729078
113,"Sweden","17/09/2006",11810,"Centre Party",7.879,314,2.866,0.658977686007773,1.33777923949161,-0.678801553483841
114,"Sweden","19/09/2010",11110,"Green Ecology Party",7.34,262,0.382,3.1053281455502,3.86064763276536,-0.755319487215159
115,"Sweden","19/09/2010",11220,"Left Party",5.6,254,1.182,2.19903355560336,3.90109712508572,-1.70206356948237
116,"Sweden","19/09/2010",11320,"Social Democratic Labour Party",30.66,282,0.355,4.21071554770318,3.62099617063118,0.589719377071998
117,"Sweden","19/09/2010",11420,"Liberal People’s Party",7.06,916,2.402,0.92000152972028,4.02691638769694,-3.10691485797667
118,"Sweden","19/09/2010",11520,"Christian Democrats",5.6,479,9.812,6.95073413637341,3.61491167388856,3.33582246248485
119,"Sweden","19/09/2010",11620,"Moderate Coalition Party",30.06,1896,2.848,0.587154991243433,5.21583070001564,-4.62867570877221
120,"Sweden","19/09/2010",11710,"Sweden Democrats",5.7,204,24.51,22.558226744186,2.65349597502142,19.9047307691646
121,"Sweden","19/09/2010",11810,"Centre Party",6.56,759,0.527,2.92366920234732,3.86719548613835,-0.943526283791036
122,"Sweden","14/09/2014",11110,"Green Ecology Party",6.889,497,6.439,1.01499624794985,4.6236313239396,-3.60863507598975
123,"Sweden","14/09/2014",11220,"Left Party",5.718,360,3.889,1.70985279801306,4.53272332598813,-2.82287052797507
124,"Sweden","14/09/2014",11320,"Social Democratic Labour Party",31.015,543,0.921,6.76295829994452,3.21804799780871,3.54491030213582
125,"Sweden","14/09/2014",11420,"Liberal People’s Party",5.42,436,7.798,2.43891994430139,4.47975705071964,-2.04083710641825
126,"Sweden","14/09/2014",11520,"Christian Democrats",4.57,389,6.169,0.705716697504845,4.54748455761613,-3.84176786011129
127,"Sweden","14/09/2014",11620,"Moderate Coalition Party",23.325,1636,5.989,0.650227136204569,5.55801954196096,-4.90779240575639
128,"Sweden","14/09/2014",11710,"Sweden Democrats",12.857,316,15.506,11.5585996989765,3.25069001826419,8.30790968071233
129,"Sweden","14/09/2014",11810,"Centre Party",6.113,380,3.684,1.93633036728512,4.52972286356959,-2.59339249628447
209,"Norway","13/09/1993",12320,"Norwegian Labour Party",36.911,1162,2.323,7.15636542491269,3.36272794580091,3.79363747911177
210,"Norway","13/09/1993",12420,"Liberal Party",3.614,1200,7.25,0.789266511074178,5.12289677091964,-4.33363025984546
211,"Norway","13/09/1993",12520,"Christian People’s Party",7.875,980,21.224,16.1707366585584,3.84877694771873,12.3219597108397
212,"Norway","13/09/1993",12620,"Conservative Party",17.034,1084,6.919,0.527629583992606,5.99963538361737,-5.47200579962476
213,"Norway","13/09/1993",12810,"Centre Party",16.742,2014,8.044,1.91313638455424,5.65387710294836,-3.74074071839412
214,"Norway","13/09/1993",12951,"Progress Party",6.275,1602,6.804,0.33476753553349,5.2979329273761,-4.96316539184261
215,"Norway","16/09/1997",12221,"Socialist Left Party",6.01,3379,3.314,3.95340571239524,3.9638839074231,-0.0104781950278645
216,"Norway","16/09/1997",12320,"Norwegian Labour Party",35,3633,4.1,4.57929145728643,3.61370984035657,0.965581616929859
217,"Norway","16/09/1997",12420,"Liberal Party",4.45,1469,3.879,3.29428642671292,3.99550505700075,-0.701218630287831
218,"Norway","16/09/1997",12520,"Christian People’s Party",13.66,1341,16.854,11.4499309887992,2.73152961278604,8.71840137601319
219,"Norway","16/09/1997",12620,"Conservative Party",14.34,1246,8.026,1.1792161505768,4.44802673293686,-3.26881058236006
220,"Norway","16/09/1997",12810,"Centre Party",7.93,2729,5.864,1.2611010590356,4.204646571186,-2.9435455121504
221,"Norway","16/09/1997",12951,"Progress Party",15.3,2070,6.956,0.0780175697260104,4.69359002629087,-4.61557245656486
222,"Norway","10/09/2001",12221,"Socialist Left Party",12.548,2342,1.878,2.22341637505334,1.65242205646471,0.57099431858863
223,"Norway","10/09/2001",12320,"Norwegian Labour Party",24.293,2860,2.378,1.92218576917604,1.66112373337882,0.26106203579722
224,"Norway","10/09/2001",12420,"Liberal Party",3.905,2632,1.406,2.50377495642966,1.69478239570987,0.808992560719793
225,"Norway","10/09/2001",12520,"Christian People’s Party",12.405,3129,8.852,5.8074547579055,1.11226353323237,4.69519122467313
226,"Norway","10/09/2001",12620,"Conservative Party",21.208,1328,3.992,0.239284138777179,2.15865429241274,-1.91937015363556
227,"Norway","10/09/2001",12810,"Centre Party",5.563,3378,3.997,0.202533741573033,1.82355200483991,-1.62101826326688
228,"Norway","10/09/2001",12951,"Progress Party",14.641,2362,3.853,0.0551591676884966,2.03467428569099,-1.9795151180025
229,"Norway","12/09/2005",12221,"Socialist Left Party",8.83,2195,2.46,0.515946447032093,1.80049672790315,-1.28455028087106
230,"Norway","12/09/2005",12320,"Norwegian Labour Party",32.69,1664,1.322,2.42557743318008,1.30526619356832,1.12031123961176
231,"Norway","12/09/2005",12420,"Liberal Party",5.917,2761,2.608,0.341789416965405,1.7706807233586,-1.42889130639319
232,"Norway","12/09/2005",12520,"Christian People’s Party",6.78,1666,6.723,4.0796744823758,1.50301791407672,2.57665656829908
233,"Norway","12/09/2005",12620,"Conservative Party",14.098,1622,4.623,1.98268640719214,1.63240110966291,0.350285297529229
234,"Norway","12/09/2005",12810,"Centre Party",6.484,3771,2.28,0.695467417645041,1.7542698527731,-1.05880243512806
235,"Norway","12/09/2005",12951,"Progress Party",22.056,2638,3.526,0.773155309562962,1.95178836740127,-1.17863305783831
236,"Norway","14/09/2009",12221,"Socialist Left Party",6.2,2825,1.381,3.02718685854162,1.86939167580184,1.15779518273978
237,"Norway","14/09/2009",12320,"Norwegian Labour Party",35.379,2125,3.105,1.74465983010885,2.05658230436292,-0.311922474254072
238,"Norway","14/09/2009",12420,"Liberal Party",3.882,2110,0.569,3.79781588327856,1.86609670753588,1.93171917574268
239,"Norway","14/09/2009",12520,"Christian People’s Party",5.544,3042,9.401,5.49902754013318,1.7283193750633,3.77070816506988
240,"Norway","14/09/2009",12620,"Conservative Party",17.236,1473,4.549,0.40554322113283,2.27417806308295,-1.86863484195012
241,"Norway","14/09/2009",12810,"Centre Party",6.15,3694,3.626,0.629055139274391,2.03182982604298,-1.40277468676859
242,"Norway","14/09/2009",12951,"Progress Party",22.91,2011,5.967,2.29117280316167,1.83599145944735,0.455181343714326
243,"Norway","09/09/2013",12110,"Green Party",2.791,1650,3.939,3.74099404541168,1.8003203931171,1.94067365229458
244,"Norway","09/09/2013",12221,"Socialist Left Party",4.091,3619,7.93,0.373166306765077,1.92123559096436,-1.54806928419928
245,"Norway","09/09/2013",12320,"Labour Party",30.845,2691,8.918,1.97115245676723,1.80253827060691,0.168614186160323
246,"Norway","09/09/2013",12420,"Liberal Party",5.228,2588,5.719,1.95893803837118,1.85021127358963,0.108726764781553
247,"Norway","09/09/2013",12520,"Christian People’s Party",5.588,3596,12.82,5.56762942216981,1.62959949546257,3.93802992670724
248,"Norway","09/09/2013",12620,"Conservative Party",26.806,1365,6.666,1.25189317283915,2.08621926800448,-0.834326095165323
249,"Norway","09/09/2013",12810,"Centre Party",5.478,1712,6.075,1.58701078587476,1.87213458152668,-0.285123795651923
250,"Norway","09/09/2013",12951,"Progress Party",16.345,2519,6.352,1.46736515025919,1.93466378836952,-0.467298638110321
426,"Denmark","21/09/1994",13230,"Socialist People’s Party",7.284,719,2.225,1.35932696671069,3.22145154577433,-1.86212457906364
427,"Denmark","21/09/1994",13320,"Social Democratic Party",34.561,217,5.53,3.20396276300767,3.01007843188261,0.193884331125054
428,"Denmark","21/09/1994",13330,"Centre Democrats",2.84,195,5.128,1.69722796702175,3.12218441470788,-1.42495644768614
429,"Denmark","21/09/1994",13410,"Danish Social-Liberal Party",4.589,51,5.882,2.52165321750181,3.10804100584907,-0.586387788347266
430,"Denmark","21/09/1994",13420,"Liberals",23.295,209,0.957,3.334203125,2.99837141636568,0.335831708634315
431,"Denmark","21/09/1994",13520,"Christian People’s Party",1.848,61,18.033,14.8379659232316,2.84887213431713,11.9890937889144
432,"Denmark","21/09/1994",13620,"Conservative People’s Party",15.021,113,0.885,3.0783653432282,3.08027136537291,-0.00190602214471491
433,"Denmark","21/09/1994",13951,"Progress Party",6.433,323,2.477,1.0762674254791,3.22409308529846,-2.14782565981936
434,"Denmark","11/03/1998",13229,"Red-Green Unity List",2.7,117,5.128,7.29115105241436,4.16013652421748,3.13101452819689
435,"Denmark","11/03/1998",13230,"Socialist People’s Party",7.56,293,1.706,11.379078861612,3.65914298908201,7.71993587252998
436,"Denmark","11/03/1998",13320,"Social Democratic Party",35.93,384,11.458,1.19428104883027,5.96602326400071,-4.77174221517043
437,"Denmark","11/03/1998",13330,"Centre Democrats",4.31,214,3.738,8.8671719651663,4.03597763717144,4.83119432799486
438,"Denmark","11/03/1998",13410,"Danish Social-Liberal Party",3.85,165,7.272,5.14851289547875,4.20867458620741,0.939838309271343
439,"Denmark","11/03/1998",13420,"Liberals",24.01,70,15.714,4.60149398227748,4.13179036178011,0.469703620497363
440,"Denmark","11/03/1998",13520,"Christian People’s Party",2.51,81,37.037,25.4568656163114,3.69673367389285,21.7601319424185
441,"Denmark","11/03/1998",13620,"Conservative People’s Party",8.92,241,12.033,0.207081146637268,4.64210998832053,-4.43502884168326
442,"Denmark","11/03/1998",13720,"Danish People’s Party",7.41,72,16.667,4.80269840581282,4.20017942285656,0.602518982956254
443,"Denmark","11/03/1998",13951,"Progress Party",2.42,50,14,1.82273950617284,4.3053036025076,-2.48256409633476
444,"Denmark","20/11/2001",13229,"Red-Green Unity List",2.4,159,4.403,10.9902766694666,8.88464811616646,2.10562855330015
445,"Denmark","20/11/2001",13230,"Socialist People’s Party",6.37,130,3.077,12.8868696176181,8.66069016244315,4.22617945517491
446,"Denmark","20/11/2001",13320,"Social Democratic Party",29.08,1125,7.91,10.272614789965,8.36964574822391,1.90296904174109
447,"Denmark","20/11/2001",13410,"Danish Social-Liberal Party",5.19,53,9.434,6.00851389940508,9.10077191403462,-3.09225801462954
448,"Denmark","20/11/2001",13420,"Liberals",31.25,69,14.493,0.926741226088264,12.7065806186949,-11.7798393926066
449,"Denmark","20/11/2001",13520,"Christian People’s Party",2.28,77,40.26,25.7378725880872,8.53469170605678,17.2031808820305
450,"Denmark","20/11/2001",13620,"Conservative People’s Party",9.07,108,15.741,0.681137744157164,9.78178425257884,-9.10064650842168
451,"Denmark","20/11/2001",13720,"Danish People’s Party",12,20,40,28.3626474778141,6.21437156535082,22.1482759124633
452,"Denmark","08/02/2005",13229,"Red-Green Unity List",3.399,223,2.69,8.82381879661757,4.90631041955761,3.91750837705995
453,"Denmark","08/02/2005",13230,"Socialist People’s Party",5.989,529,0.945,10.9243625629857,4.66369252612773,6.26067003685801
454,"Denmark","08/02/2005",13320,"Social Democratic Party",25.835,289,11.765,0.745335383198331,6.54278538824031,-5.79745000504198
455,"Denmark","08/02/2005",13330,"Centre Democrats",1,64,0,11.3265275539474,4.97620018186731,6.35032737208004
456,"Denmark","08/02/2005",13410,"Danish Social-Liberal Party",9.181,88,6.818,4.8408249005305,5.06012157698262,-0.219296676452118
457,"Denmark","08/02/2005",13420,"Liberals",29.031,253,12.253,1.4676440322809,6.50822936140466,-5.04058532912376
458,"Denmark","08/02/2005",13520,"Christian People’s Party",1.7,206,31.553,20.6931023366442,4.76827655623016,15.924825780414
459,"Denmark","08/02/2005",13620,"Conservative People’s Party",10.273,175,3.428,8.67956131695529,4.62163019966971,4.05793111728558
460,"Denmark","08/02/2005",13720,"Danish People’s Party",13.253,50,22,12.4416195838348,3.90466888890606,8.53695069492877
461,"Denmark","13/11/2007",13001,"New Alliance",2.81,48,10.417,0.791010071643649,7.80011890195514,-7.00910883031149
462,"Denmark","13/11/2007",13229,"Red-Green Unity List",2.17,303,4.95,4.80357772047447,7.66403740170385,-2.86045968122938
463,"Denmark","13/11/2007",13230,"Socialist People’s Party",13.04,70,0,11.1100239312268,7.06990564225629,4.04011828897048
464,"Denmark","13/11/2007",13320,"Social Democratic Party",25.47,117,4.274,7.23302077393075,7.7288139937081,-0.495793219777347
465,"Denmark","13/11/2007",13410,"Danish Social-Liberal Party",5.12,52,7.692,2.06297680851064,7.90308243073451,-5.84010562222387
466,"Denmark","13/11/2007",13420,"Liberals",26.26,129,13.954,5.85739253362613,8.22998986845451,-2.37259733482838
467,"Denmark","13/11/2007",13620,"Conservative People’s Party",10.39,121,7.437,2.47036425109884,8.20224394432211,-5.73187969322327
468,"Denmark","13/11/2007",13720,"Danish People’s Party",13.86,47,23.405,15.9928775510204,6.23728485680829,9.75559269421212
469,"Denmark","15/09/2011",13001,"Liberal Alliance",4.976,87,3.448,5.80707906305082,7.38061970072478,-1.57354063767396
470,"Denmark","15/09/2011",13229,"Red-Green Unity List",6.682,450,6.889,2.22456719871961,7.66852095305341,-5.4439537543338
471,"Denmark","15/09/2011",13230,"Socialist People’s Party",9.196,491,0.611,9.20650737010605,7.10692751969924,2.09957985040681
472,"Denmark","15/09/2011",13320,"Social Democratic Party",24.857,169,1.775,9.59370814433961,6.53481599861031,3.05889214572931
473,"Denmark","15/09/2011",13410,"Danish Social-Liberal Party",9.479,127,11.811,3.14832238639532,7.7406755471643,-4.59235316076898
474,"Denmark","15/09/2011",13420,"Liberals",26.739,226,12.389,4.69014461092315,8.26594284113962,-3.57579823021647
475,"Denmark","15/09/2011",13620,"Conservative People’s Party",4.922,142,12.676,3.9062528652687,7.47900342760153,-3.57275056233283
476,"Denmark","15/09/2011",13720,"Danish People’s Party",12.303,346,21.965,14.8430706151915,6.23336207774117,8.60970853745037
573,"Finland","17/03/1991",14223,"Left Wing Alliance",10.075,56,0,0.796605542073201,1.63993207491799,-0.843326532844792
574,"Finland","17/03/1991",14320,"Finnish Social Democrats",22.124,85,0,0.936288292221495,1.74283391920186,-0.806545626980367
575,"Finland","17/03/1991",14420,"Liberal People’s Party",0.778,100,7,6.34609820010882,1.50493566066754,4.84116253944127
576,"Finland","17/03/1991",14520,"Finnish Christian Union",3.05,140,0,0.732860039412683,1.57466256381615,-0.841802524403463
577,"Finland","17/03/1991",14620,"National Coalition",19.314,67,0,0.899504369101713,1.72108000769289,-0.821575638591175
578,"Finland","17/03/1991",14810,"Finnish Centre",24.825,79,0,0.974597055170116,1.76142792499267,-0.786830869822555
579,"Finland","17/03/1991",14820,"Finnish Rural Party",4.847,107,12.15,12.0866685273049,0.952288498734971,11.1343800285699
580,"Finland","17/03/1991",14901,"Swedish People’s Party",5.826,130,0,0.75679072612424,1.60051065324909,-0.843719927124845
581,"Finland","19/03/1995",14110,"Green Union",6.516,67,0,3.17119489060044,3.62728423855204,-0.456089347951599
582,"Finland","19/03/1995",14223,"Left Wing Alliance",11.16,47,2.128,0.93715124657647,3.9452465297513,-3.00809528317483
583,"Finland","19/03/1995",14320,"Finnish Social Democrats",28.251,51,0,4.18507975640611,3.35176778763639,0.833311968769716
584,"Finland","19/03/1995",14430,"Young Finnish Party",2.807,53,7.548,4.729482071372,3.56235854861586,1.16712352275614
585,"Finland","19/03/1995",14520,"Finnish Christian Union",2.96,107,25.234,22.9845017314764,2.98112466428823,20.0033770671882
586,"Finland","19/03/1995",14620,"National Coalition",17.894,171,1.17,2.19453250615913,3.91661370801408,-1.72208120185495
587,"Finland","19/03/1995",14810,"Finnish Centre",19.85,41,4.878,2.42088530170326,3.90188906822875,-1.48100376652549
588,"Finland","19/03/1995",14820,"Finnish Rural Party",1.301,107,12.15,9.31952195255551,3.51796936625217,5.80155258630334
589,"Finland","19/03/1995",14901,"Swedish People’s Party",5.494,193,5.699,2.90858148095086,3.63804779952371,-0.729466318572852
590,"Finland","21/03/1999",14110,"Green Union",7.27,256,2.734,5.88946461033784,9.27258787563792,-3.38312326530008
591,"Finland","21/03/1999",14223,"Left Wing Alliance",10.878,393,1.017,8.08073247333286,9.13443779044018,-1.05370531710732
592,"Finland","21/03/1999",14320,"Finnish Social Democrats",22.86,73,5.479,3.54701922331173,10.744683510969,-7.19766428765727
593,"Finland","21/03/1999",14520,"Finnish Christian Union",4.127,72,26.388,19.0415804348065,8.55877569324329,10.4828047415632
594,"Finland","21/03/1999",14620,"National Coalition",21.03,112,16.964,11.2880712105249,8.367855986622,2.9202152239029
595,"Finland","21/03/1999",14810,"Finnish Centre",22.399,286,0.35,10.2345315076034,8.63759329019615,1.59693821740724
596,"Finland","21/03/1999",14820,"True Finns",0.99,187,9.626,1.4682211025363,9.09327177306589,-7.62505067052959
597,"Finland","21/03/1999",14901,"Swedish People’s Party",5.51,124,25,17.8622436518748,8.46944888167007,9.39279477020478
598,"Finland","16/03/2003",14110,"Green Union",8.008,352,0.852,1.89834819325752,2.69135952487684,-0.793011331619321
599,"Finland","16/03/2003",14223,"Left Wing Alliance",9.928,37,0,2.88907643903445,2.59607299864797,0.293003440386487
600,"Finland","16/03/2003",14320,"Finnish Social Democrats",24.473,194,2.062,0.710960990907966,3.27066185329341,-2.55970086238544
601,"Finland","16/03/2003",14520,"Christian Democrats in Finland",5.337,64,18.75,17.0949849951545,1.78516067388564,15.3098243212688
602,"Finland","16/03/2003",14620,"National Coalition",18.551,205,2.439,0.191457677778767,3.20043758628265,-3.00897990850388
603,"Finland","16/03/2003",14810,"Finnish Centre",24.694,550,0.364,2.98963889348786,2.50211910721558,0.487519786272276
604,"Finland","16/03/2003",14820,"True Finns",1.569,187,9.626,7.14749815386224,2.55180493827064,4.5956932155916
605,"Finland","16/03/2003",14901,"Swedish People’s Party",4.614,291,5.498,3.04885791918755,2.60492983240755,0.44392808678
606,"Finland","18/03/2007",14110,"Green Union",8.46,340,3.235,2.03073365320241,4.7585457955336,-2.72781214233119
607,"Finland","18/03/2007",14223,"Left Wing Alliance",8.82,390,1.538,3.90360867129733,4.58448411854102,-0.680875447243689
608,"Finland","18/03/2007",14320,"Finnish Social Democrats",21.44,398,1.508,4.58479266701461,4.50604026775862,0.0787523992559933
609,"Finland","18/03/2007",14520,"Christian Democrats in Finland",4.97,278,10.791,6.00470550961229,4.44417886928408,1.5605266403282
610,"Finland","18/03/2007",14620,"National Coalition",22.26,180,7.223,2.75848971247692,5.04137298736584,-2.28288327488892
611,"Finland","18/03/2007",14810,"Finnish Centre",23.11,782,2.303,3.64685754301721,4.79341073873131,-1.1465531957141
612,"Finland","18/03/2007",14820,"True Finns",4.05,583,11.321,6.49878262256727,4.43816666255893,2.06061596000833
613,"Finland","18/03/2007",14901,"Swedish People’s Party",4.97,106,22.642,18.4882849318011,3.77783379648548,14.7104511353156
614,"Finland","17/04/2011",14110,"Green Union",7.252,617,5.996,1.66841238056403,7.14232129676739,-5.47390891620335
615,"Finland","17/04/2011",14223,"Left Wing Alliance",8.132,172,1.744,6.32154601097275,6.77483175385878,-0.453285742886035
616,"Finland","17/04/2011",14320,"Finnish Social Democrats",19.103,571,1.226,7.84412256616976,6.46917332610391,1.37494924006585
617,"Finland","17/04/2011",14520,"Christian Democrats in Finland",4.03,638,12.382,5.04869525654261,6.8096356663654,-1.7609404098228
618,"Finland","17/04/2011",14620,"National Coalition",20.382,400,3,5.73349878235772,7.00081493833462,-1.2673161559769
